City 1,City 2,Heuristic
Agra,Agartala,2566
Ahmedabad,Agartala,3220
Allahabad,Agartala,2083
Amritsar,Agartala,3126
Asansol,Agartala,2076
Bangalore,Agartala,3277
Baroda,Agartala,3263
Bhopal,Agartala,2697
Bhubaneshwar,Agartala,2286
Bombay,Agartala,3421
Calcutta,Agartala,1863
Calicut,Agartala,3413
Chandigarh,Agartala,2929
Cochin,Agartala,3635
Coimbatore,Agartala,3449
Delhi,Agartala,2681
Gwalior,Agartala,2490
Hubli,Agartala,3027
Hyderabad,Agartala,3150
Imphal,Agartala,3215
Indore,Agartala,2886
Jabalpur,Agartala,2417
Jaipur,Agartala,2793
Jamshedpur,Agartala,2131
Jullundur,Agartala,3056
Kanpur,Agartala,2276
Kolhapur,Agartala,3091
Lucknow,Agartala,2247
Ludhiana,Agartala,2991
Madras,Agartala,3023
Madurai,Agartala,3493
Meerut,Agartala,2615
Nagpur,Agartala,2674
Nasik,Agartala,3238
Panjim,Agartala,2837
Patna,Agartala,1681
Pondicherry,Agartala,3160
Pune,Agartala,3338
Ranchi,Agartala,1983
Shillong,Agartala,2700
Shimla,Agartala,2906
Surat,Agartala,3423
Trivandrum,Agartala,3629
Varanasi,Agartala,1961
Vijayawada,Agartala,3061
Vishakapatnam,Agartala,2731
Agartala,Agra,2566
Ahmedabad,Agra,878
Allahabad,Agra,483
Amritsar,Agra,645
Asansol,Agra,1079
Bangalore,Agra,1681
Baroda,Agra,970
Bhopal,Agra,782
Bhubaneshwar,Agra,1573
Bombay,Agra,1180
Calcutta,Agra,1300
Calicut,Agra,2056
Chandigarh,Agra,448
Cochin,Agra,2064
Coimbatore,Agra,1970
Delhi,Agra,200
Gwalior,Agra,515
Hubli,Agra,1290
Hyderabad,Agra,1246
Imphal,Agra,2419
Indore,Agra,591
Jabalpur,Agra,833
Jaipur,Agra,230
Jamshedpur,Agra,1157
Jullundur,Agra,575
Kanpur,Agra,290
Kolhapur,Agra,1461
Lucknow,Agra,369
Ludhiana,Agra,510
Madras,Agra,1728
Madurai,Agra,1893
Meerut,Agra,266
Nagpur,Agra,770
Nasik,Agra,1005
Panjim,Agra,1480
Patna,Agra,885
Pondicherry,Agra,1560
Pune,Agra,1214
Ranchi,Agra,1013
Shillong,Agra,1904
Shimla,Agra,547
Surat,Agra,1141
Trivandrum,Agra,2150
Varanasi,Agra,605
Vijayawada,Agra,1512
Vishakapatnam,Agra,1680
Agartala,Ahmedabad,3220
Agra,Ahmedabad,878
Allahabad,Ahmedabad,1245
Amritsar,Ahmedabad,1354
Asansol,Ahmedabad,1719
Bangalore,Ahmedabad,1395
Baroda,Ahmedabad,119
Bhopal,Ahmedabad,523
Bhubaneshwar,Ahmedabad,1647
Bombay,Ahmedabad,552
Calcutta,Ahmedabad,1493
Calicut,Ahmedabad,1648
Chandigarh,Ahmedabad,1155
Cochin,Ahmedabad,1845
Coimbatore,Ahmedabad,1669
Delhi,Ahmedabad,911
Gwalior,Ahmedabad,919
Hubli,Ahmedabad,1101
Hyderabad,Ahmedabad,1209
Imphal,Ahmedabad,3073
Indore,Ahmedabad,442
Jabalpur,Ahmedabad,901
Jaipur,Ahmedabad,648
Jamshedpur,Ahmedabad,1225
Jullundur,Ahmedabad,1285
Kanpur,Ahmedabad,1108
Kolhapur,Ahmedabad,911
Lucknow,Ahmedabad,1187
Ludhiana,Ahmedabad,1218
Madras,Ahmedabad,1726
Madurai,Ahmedabad,1827
Meerut,Ahmedabad,975
Nagpur,Ahmedabad,875
Nasik,Ahmedabad,504
Panjim,Ahmedabad,1136
Patna,Ahmedabad,1539
Pondicherry,Ahmedabad,1723
Pune,Ahmedabad,664
Ranchi,Ahmedabad,1775
Shillong,Ahmedabad,2518
Shimla,Ahmedabad,1254
Surat,Ahmedabad,263
Trivandrum,Ahmedabad,1928
Varanasi,Ahmedabad,1367
Vijayawada,Ahmedabad,1478
Vishakapatnam,Ahmedabad,1785
Agartala,Allahabad,2083
Agra,Allahabad,483
Ahmedabad,Allahabad,1245
Amritsar,Allahabad,1093
Asansol,Allahabad,797
Bangalore,Allahabad,1405
Baroda,Allahabad,1182
Bhopal,Allahabad,778
Bhubaneshwar,Allahabad,1090
Bombay,Allahabad,1352
Calcutta,Allahabad,817
Calicut,Allahabad,1643
Chandigarh,Allahabad,854
Cochin,Allahabad,1607
Coimbatore,Allahabad,1487
Delhi,Allahabad,650
Gwalior,Allahabad,473
Hubli,Allahabad,1570
Hyderabad,Allahabad,1084
Imphal,Allahabad,1936
Indore,Allahabad,803
Jabalpur,Allahabad,736
Jaipur,Allahabad,710
Jamshedpur,Allahabad,875
Jullundur,Allahabad,1008
Kanpur,Allahabad,193
Kolhapur,Allahabad,1611
Lucknow,Allahabad,234
Ludhiana,Allahabad,959
Madras,Allahabad,1245
Madurai,Allahabad,1410
Meerut,Allahabad,687
Nagpur,Allahabad,608
Nasik,Allahabad,1155
Panjim,Allahabad,1419
Patna,Allahabad,402
Pondicherry,Allahabad,1077
Pune,Allahabad,1364
Ranchi,Allahabad,704
Shillong,Allahabad,1421
Shimla,Allahabad,893
Surat,Allahabad,1357
Trivandrum,Allahabad,1699
Varanasi,Allahabad,508
Vijayawada,Allahabad,1350
Vishakapatnam,Allahabad,1518
Agartala,Amritsar,3126
Agra,Amritsar,645
Ahmedabad,Amritsar,1354
Allahabad,Amritsar,1093
Asansol,Amritsar,1689
Bangalore,Amritsar,2157
Baroda,Amritsar,1420
Bhopal,Amritsar,1187
Bhubaneshwar,Amritsar,2158
Bombay,Amritsar,1700
Calcutta,Amritsar,1885
Calicut,Amritsar,2426
Chandigarh,Amritsar,239
Cochin,Amritsar,2204
Coimbatore,Amritsar,2399
Delhi,Amritsar,445
Gwalior,Amritsar,701
Hubli,Amritsar,1766
Hyderabad,Amritsar,1833
Imphal,Amritsar,2979
